Al9La2Rh3;unknown;3-9-13;unknown;0
Al21As50Ga29;sums-up-to-100;15-13-13;unknown;0
Al37As100Ga63;unknown;15-13-13;unknown;0
As2GeMn;full_heusler;15-7-14;442.654835479359;69.353
B4DyRh4;unknown;12-13-9;unknown;0
B4Rh4Tm;unknown;15-13-9;unknown;0
B4GdRh4;unknown;10-13-9;unknown;0
AlRhY;half_heusler;9-3-13;33241.5801488131;72.9326666666667
GaGeYb;half_heusler;16-14-13;1251.87735500296;105.134333333333
Ge3LaTi;unknown;3-4-14;unknown;0
Gd89TmY50;unknown;15-10-3;unknown;0
GdGeRu;half_heusler;10-14-8;1251.58142468651;110.316666666667
Gd3Ge30Mn30Tb2;off-stoichiometric;11-7-10-14;unknown;0
GaMn2V;full_heusler;7-13-5;82.8546063390026;57.63525
Al19As50Ga31;sums-up-to-100;15-13-13;unknown;0
Al2Ge2Y;unknown;14-3-13;unknown;0
Al2Ge2La;unknown;3-14-13;unknown;0
Al2Ge2Lu;unknown;14-3-13;unknown;0
Al2GdGe2;unknown;10-14-13;unknown;0
Al2Ge2Tb;unknown;11-14-13;unknown;0
BGe2Ti6;unknown;4-13-14;unknown;0
Al156As333Ga167Zn10;off-stoichiometric;12-15-13-13;unknown;0
Al167As333Ga156Zn10;off-stoichiometric;12-15-13-13;unknown;0
Al12La3Ru4;unknown;3-8-13;unknown;0
AlTi2V;full_heusler;4-5-13;8.28214110493038;43.4145
GaTi2V;full_heusler;4-13-5;88.8447503916377;54.09975
Al2ZnZr;full_heusler;12-4-13;10.4730971467649;52.642
Au3BLi;unknown;13-11-1;unknown;0
Al2Ge2Yb;unknown;16-14-13;unknown;0
AlGe2MgY;off-stoichiometric;14-2-3-13;unknown;0
AuGdMg;half_heusler;10-11-2;18291.5695314708;126.175
Ag87Al415Li698;unknown;11-1-13;unknown;0
Ag2AlLi;full_heusler;11-1-13;370.229575666301;62.4155
AgAlLi2;full_heusler;11-1-13;318.341018207245;37.183
Ge3Li8Zn2;unknown;12-14-1;unknown;0
GeLi2Zn;full_heusler;12-14-1;817.045230100731;37.9725
LaRhZn;half_heusler;3-12-9;23669.7504505208;102.4
GeVZr;half_heusler;4-14-5;584.05691558502;71.5986666666667
GdRhZn;half_heusler;12-10-9;22357.9433879093;108.513333333333
RhTbZn;half_heusler;11-12-9;22464.4693447833;109.073333333333
DyRhZn;half_heusler;12-12-9;22137.1421687475;110.263333333333
RhYZn;half_heusler;12-9-3;28279.2646583928;85.732
B60Yb4Zr;unknown;16-4-13;unknown;0
Ge20Mn3Y10;unknown;7-14-3;unknown;0
Ge6La2Mn;unknown;3-7-14;unknown;0
B3MnRh6;unknown;7-13-9;unknown;0
Al33Dy100Ga267;unknown;12-13-13;unknown;0
Al17Dy20Ga43;unknown;12-13-13;unknown;0
GeRhTb;half_heusler;11-9-14;22343.1334678745;111.49
DyGeRh;half_heusler;12-9-14;22024.1079458052;112.68
Ag25Mg11Y14;unknown;2-11-3;unknown;0
Ag2GdMg;full_heusler;10-2-11;250.818759108471;99.32375
Au2LuMg;full_heusler;11-2-3;25016.5706774104;148.30375
AlMgZn2;full_heusler;12-2-13;2.40607491471983;45.51175
Al3La2Mg15;unknown;3-2-13;unknown;0
Al2TiZn4;unknown;4-12-13;unknown;0
AlTiZn3;unknown;4-12-13;unknown;0
Al3MgZn;unknown;12-2-13;unknown;0
Mn15Ti10V2;unknown;4-7-5;unknown;0
Al3Li13Ti17;unknown;4-1-13;unknown;0
Ge5Li6Zn5;unknown;12-14-1;unknown;0
GeLi3Zn;unknown;12-14-1;unknown;0
As4Li9V;unknown;15-5-1;unknown;0
B20Li52Mg;unknown;13-2-1;unknown;0
Al17Ti45Zr38;sums-up-to-100;4-4-13;unknown;0
AlMgMn;half_heusler;7-2-13;1.90045224758767;35.4083333333333
Al31As100Ga69;unknown;15-13-13;unknown;0
Al41Mg30Zn429;unknown;12-2-13;unknown;0
Al51Mg700Zn249;unknown;12-2-13;unknown;0
DyGe2Mn2;unknown;12-7-14;unknown;0
Ge6Mn6Tb;unknown;11-7-14;unknown;0
DyGe6Mn6;unknown;12-7-14;unknown;0
GdGe6Mn6;unknown;7-10-14;unknown;0
LiMnTiZn;off-stoichiometric;4-12-7-1;unknown;0
AuErGe;half_heusler;11-14-14;16144.4772659433;145.62
GeTbTi;half_heusler;11-4-14;726.455136726229;93.1423333333333
AsMnRh;half_heusler;15-7-9;31234.7230228122;77.59
DyGeTi;half_heusler;12-4-14;618.072907097955;94.3323333333333
ErGeTi;half_heusler;4-14-14;476.891150832126;95.919
Al43V4Yb6;unknown;16-5-13;unknown;0
AlAsMn;half_heusler;15-7-13;1.72910534168144;52.2806666666667
ErGe2Ru2;unknown;14-14-8;unknown;0
Ge2Mn2Tb;unknown;11-7-14;unknown;0
AgBi2La;full_heusler;3-11-15;76.2592231549177;166.185
GaRhTb;half_heusler;11-9-13;22223.495427415;110.521
ErGaRh;half_heusler;9-13-14;21485.3686360119;113.297666666667
Ge2Ru2Tb;unknown;11-14-8;unknown;0
GeMnTm;half_heusler;15-7-14;3660.93198881611;98.8326666666667
DyGeMn;half_heusler;12-7-14;602.791458623495;96.6893333333333
GeMnY;half_heusler;7-14-3;579.372155085599;72.158
ErGeMn;half_heusler;7-14-14;465.242450581356;98.276
As2Mn2Zn;unknown;12-15-7;unknown;0
Ge6Rh7Yb4;unknown;16-9-14;unknown;0
Ge6Lu4Rh7;unknown;9-14-3;unknown;0
B2LaRh3;unknown;3-13-9;unknown;0
Ge2Mn2Yb;unknown;16-7-14;unknown;0
GeRhYb;half_heusler;16-9-14;21937.7879457242;116.196666666667
AgGeYb;half_heusler;16-14-11;1195.96635836515;117.85
GdGeMn;half_heusler;7-10-14;458.222954026782;94.9393333333333
AgGeTb;half_heusler;11-14-11;732.546495595557;113.143333333333
AgDyGe;half_heusler;12-14-11;643.060804664723;114.333333333333
AgGeTm;half_heusler;15-14-11;3237.21018802049;116.476666666667
Ge2LaMn2;unknown;3-7-14;unknown;0
Ga3Gd60Tb37;sums-up-to-100;11-10-13;unknown;0
Bi71Tb91Yb138;unknown;11-16-15;unknown;0
